base,method,australian,breast_cancer,car,ecoli,glass,ionosphere,iris,sonar,wine
000 rf,000 all,$0.87\pm0.02$,$0.96\pm0.02$,$0.96\pm0.01$,$0.86\pm0.04$,$0.77\pm0.06$,$0.93\pm0.03$,$0.95\pm0.03$,$0.81\pm0.06$,$0.98\pm0.02$
001 knn,000 all,$0.86\pm0.02$,$0.95\pm0.02$,$0.76\pm0.02$,$0.84\pm0.04$,$0.64\pm0.06$,$0.8\pm0.05$,$0.95\pm0.03$,$0.75\pm0.05$,$0.96\pm0.03$
001 knn,003 feature importance selection,$0.85\pm0.02$,$0.95\pm0.02$,$0.73\pm0.02$,$0.81\pm0.04$,$0.59\pm0.06$,$0.65\pm0.05$,$0.95\pm0.03$,$0.76\pm0.06$,$0.87\pm0.05$
001 knn,004 l1,$0.86\pm0.02$,$0.95\pm0.02$,$0.84\pm0.02$,$0.83\pm0.04$,$0.61\pm0.09$,$0.85\pm0.04$,$0.96\pm0.03$,$0.7\pm0.05$,$0.96\pm0.03$
001 knn,005 relieff selection,$0.86\pm0.02$,$0.95\pm0.02$,$0.83\pm0.02$,$0.76\pm0.06$,$0.63\pm0.07$,$0.83\pm0.04$,$0.96\pm0.03$,$0.75\pm0.06$,$0.91\pm0.07$
001 knn,006 forward selection,$0.86\pm0.03$,$0.9\pm0.07$,$0.7\pm0.02$,$0.74\pm0.08$,$0.59\pm0.09$,$0.84\pm0.06$,$0.68\pm0.31$,$0.68\pm0.07$,$0.86\pm0.11$
001 knn,007 backward selection,$0.86\pm0.02$,$0.93\pm0.02$,$0.83\pm0.02$,$0.76\pm0.06$,$0.61\pm0.07$,$0.85\pm0.04$,$0.95\pm0.06$,$0.76\pm0.06$,$0.93\pm0.04$
001 knn,008 stepwise selection,$0.86\pm0.02$,$0.93\pm0.02$,$0.81\pm0.03$,$0.73\pm0.08$,$0.6\pm0.08$,$0.85\pm0.04$,$0.85\pm0.23$,$0.74\pm0.06$,$0.9\pm0.08$
001 knn,009 bayesian selection,$0.89\pm0.02$,$0.96\pm0.02$,$0.86\pm0.02$,$0.8\pm0.04$,$0.7\pm0.06$,$0.91\pm0.03$,$0.96\pm0.03$,$0.87\pm0.04$,$0.98\pm0.02$
001 knn,011 feature importance weighting,$0.86\pm0.02$,$0.95\pm0.02$,$0.84\pm0.02$,$0.84\pm0.04$,$0.64\pm0.05$,$0.83\pm0.04$,$0.96\pm0.03$,$0.76\pm0.06$,$0.96\pm0.03$
001 knn,012 relieff weighting,$0.86\pm0.02$,$0.93\pm0.02$,$0.84\pm0.02$,$0.78\pm0.05$,$0.61\pm0.07$,$0.87\pm0.04$,$0.96\pm0.03$,$0.76\pm0.06$,$0.94\pm0.04$
001 knn,013 bayesian weighting,$0.91\pm0.02$,$0.97\pm0.02$,$0.9\pm0.02$,$0.85\pm0.04$,$0.77\pm0.06$,$0.92\pm0.03$,$0.97\pm0.03$,$0.92\pm0.04$,$0.99\pm0.01$
