base,method,TriesToOpt,Time,MinTime,MaxTime
000 rf,000 all,0.0,0.0,0.0,0.0
001 knn,000 all,0.0,0.0,0.0,0.0
001 knn,003 feature importance selection,0.0,0.15564673635694717,0.13837295293807983,0.16983071088790894
001 knn,004 l1,0.0,0.008455193837483724,0.004683876037597656,0.020156261920928956
001 knn,005 relieff selection,0.0,0.043921316464742025,0.019018640518188478,0.12004911184310912
001 knn,006 forward selection,0.0,8.84121643225352,1.0078072357177734,30.010564618110656
001 knn,007 backward selection,0.0,7.196388535499573,0.8565513610839843,23.98647289991379
001 knn,008 stepwise selection,0.0,8.488395754496258,0.9952614283561707,25.52857671737671
001 knn,009 bayesian selection,53.72888888888888,37.884668321609496,27.85126336812973,58.00931632995606
001 knn,011 feature importance weighting,0.0,0.15564673635694717,0.13837295293807983,0.16983071088790894
001 knn,012 relieff weighting,0.0,0.043921316464742025,0.019018640518188478,0.12004911184310912
001 knn,013 bayesian weighting,165.9911111111111,98.88925754785538,70.73768450021744,155.95852081060409
